seed,acc,prec,recall
0.0,0.816,0.773,0.739
1.0,0.804,0.758,0.725
2.0,0.804,0.75,0.739
3.0,0.804,0.766,0.71
4.0,0.782,0.734,0.681
5.0,0.821,0.768,0.768
6.0,0.799,0.739,0.739
7.0,0.804,0.75,0.739
8.0,0.788,0.731,0.71
9.0,0.788,0.738,0.696
10.0,0.804,0.758,0.725
11.0,0.81,0.761,0.739
12.0,0.777,0.716,0.696
13.0,0.793,0.735,0.725
14.0,0.799,0.732,0.754
15.0,0.81,0.761,0.739
16.0,0.804,0.736,0.768
17.0,0.804,0.75,0.739
18.0,0.799,0.746,0.725
19.0,0.804,0.758,0.725
20.0,0.799,0.739,0.739
21.0,0.81,0.761,0.739
22.0,0.804,0.758,0.725
23.0,0.793,0.729,0.739
24.0,0.816,0.773,0.739
25.0,0.788,0.746,0.681
26.0,0.81,0.769,0.725
27.0,0.788,0.725,0.725
28.0,0.788,0.725,0.725
29.0,0.804,0.736,0.768
30.0,0.788,0.746,0.681
31.0,0.799,0.746,0.725
32.0,0.793,0.735,0.725
33.0,0.816,0.773,0.739
34.0,0.804,0.743,0.754
35.0,0.799,0.746,0.725
36.0,0.804,0.736,0.768
37.0,0.799,0.732,0.754
38.0,0.793,0.735,0.725
39.0,0.793,0.722,0.754
40.0,0.804,0.736,0.768
41.0,0.793,0.722,0.754
42.0,0.788,0.731,0.71
43.0,0.804,0.75,0.739
44.0,0.799,0.739,0.739
45.0,0.81,0.761,0.739
46.0,0.788,0.738,0.696
47.0,0.782,0.721,0.71
48.0,0.799,0.762,0.696
49.0,0.804,0.736,0.768
50.0,0.788,0.712,0.754
51.0,0.804,0.75,0.739
52.0,0.804,0.743,0.754
53.0,0.799,0.754,0.71
54.0,0.782,0.727,0.696
55.0,0.804,0.75,0.739
56.0,0.788,0.738,0.696
57.0,0.804,0.743,0.754
58.0,0.816,0.757,0.768
59.0,0.804,0.766,0.71
60.0,0.788,0.725,0.725
61.0,0.799,0.746,0.725
62.0,0.81,0.761,0.739
63.0,0.788,0.746,0.681
64.0,0.804,0.736,0.768
65.0,0.804,0.758,0.725
66.0,0.793,0.75,0.696
67.0,0.816,0.757,0.768
68.0,0.804,0.743,0.754
69.0,0.804,0.736,0.768
70.0,0.799,0.746,0.725
71.0,0.799,0.739,0.739
72.0,0.804,0.75,0.739
73.0,0.799,0.746,0.725
74.0,0.793,0.75,0.696
75.0,0.804,0.743,0.754
76.0,0.782,0.721,0.71
77.0,0.793,0.722,0.754
78.0,0.804,0.758,0.725
79.0,0.793,0.735,0.725
80.0,0.788,0.738,0.696
81.0,0.782,0.727,0.696
82.0,0.81,0.761,0.739
83.0,0.799,0.746,0.725
84.0,0.804,0.743,0.754
85.0,0.804,0.743,0.754
86.0,0.799,0.746,0.725
87.0,0.804,0.736,0.768
88.0,0.799,0.732,0.754
89.0,0.793,0.722,0.754
90.0,0.81,0.761,0.739
91.0,0.81,0.769,0.725
92.0,0.804,0.743,0.754
93.0,0.804,0.736,0.768
94.0,0.804,0.736,0.768
95.0,0.793,0.722,0.754
96.0,0.793,0.735,0.725
97.0,0.793,0.735,0.725
98.0,0.782,0.727,0.696
99.0,0.799,0.732,0.754
100.0,0.804,0.736,0.768
101.0,0.799,0.726,0.768
102.0,0.793,0.722,0.754
103.0,0.799,0.732,0.754
104.0,0.799,0.746,0.725
105.0,0.81,0.754,0.754
106.0,0.816,0.773,0.739
107.0,0.799,0.746,0.725
108.0,0.793,0.735,0.725
109.0,0.793,0.729,0.739
110.0,0.799,0.746,0.725
111.0,0.799,0.746,0.725
112.0,0.793,0.729,0.739
113.0,0.788,0.738,0.696
114.0,0.799,0.746,0.725
115.0,0.793,0.729,0.739
116.0,0.793,0.758,0.681
117.0,0.799,0.739,0.739
118.0,0.788,0.718,0.739
119.0,0.799,0.746,0.725
120.0,0.804,0.743,0.754
121.0,0.793,0.722,0.754
122.0,0.81,0.769,0.725
123.0,0.81,0.769,0.725
124.0,0.793,0.735,0.725
125.0,0.799,0.732,0.754
126.0,0.81,0.754,0.754
127.0,0.804,0.75,0.739
128.0,0.793,0.75,0.696
129.0,0.804,0.736,0.768
130.0,0.799,0.732,0.754
131.0,0.782,0.734,0.681
132.0,0.788,0.725,0.725
133.0,0.793,0.729,0.739
134.0,0.81,0.761,0.739
135.0,0.81,0.746,0.768
136.0,0.81,0.769,0.725
137.0,0.799,0.726,0.768
138.0,0.793,0.735,0.725
139.0,0.799,0.732,0.754
140.0,0.782,0.727,0.696
141.0,0.782,0.721,0.71
142.0,0.799,0.739,0.739
143.0,0.799,0.746,0.725
144.0,0.799,0.732,0.754
145.0,0.799,0.732,0.754
146.0,0.793,0.735,0.725
147.0,0.81,0.746,0.768
148.0,0.799,0.732,0.754
149.0,0.788,0.738,0.696
150.0,0.81,0.761,0.739
151.0,0.799,0.732,0.754
152.0,0.793,0.735,0.725
153.0,0.782,0.742,0.667
154.0,0.804,0.766,0.71
155.0,0.799,0.746,0.725
156.0,0.793,0.735,0.725
157.0,0.799,0.739,0.739
158.0,0.81,0.746,0.768
159.0,0.81,0.746,0.768
160.0,0.793,0.742,0.71
161.0,0.788,0.725,0.725
162.0,0.804,0.75,0.739
163.0,0.799,0.732,0.754
164.0,0.793,0.742,0.71
165.0,0.804,0.743,0.754
166.0,0.799,0.746,0.725
167.0,0.799,0.754,0.71
168.0,0.788,0.738,0.696
169.0,0.804,0.758,0.725
170.0,0.799,0.726,0.768
171.0,0.788,0.731,0.71
172.0,0.799,0.746,0.725
173.0,0.788,0.731,0.71
174.0,0.782,0.742,0.667
175.0,0.821,0.794,0.725
176.0,0.777,0.704,0.725
177.0,0.793,0.722,0.754
178.0,0.81,0.746,0.768
179.0,0.804,0.743,0.754
180.0,0.771,0.719,0.667
181.0,0.799,0.732,0.754
182.0,0.804,0.743,0.754
183.0,0.793,0.742,0.71
184.0,0.793,0.722,0.754
185.0,0.799,0.754,0.71
186.0,0.793,0.735,0.725
187.0,0.804,0.743,0.754
188.0,0.793,0.722,0.754
189.0,0.788,0.731,0.71
190.0,0.81,0.754,0.754
191.0,0.793,0.722,0.754
192.0,0.799,0.739,0.739
193.0,0.799,0.746,0.725
194.0,0.788,0.731,0.71
195.0,0.788,0.725,0.725
196.0,0.799,0.732,0.754
197.0,0.793,0.735,0.725
198.0,0.799,0.746,0.725
199.0,0.799,0.739,0.739
200.0,0.782,0.734,0.681
201.0,0.788,0.725,0.725
202.0,0.793,0.75,0.696
203.0,0.799,0.754,0.71
204.0,0.788,0.746,0.681
205.0,0.799,0.746,0.725
206.0,0.804,0.743,0.754
207.0,0.804,0.736,0.768
208.0,0.804,0.743,0.754
209.0,0.816,0.773,0.739
210.0,0.793,0.735,0.725
211.0,0.788,0.738,0.696
212.0,0.788,0.725,0.725
213.0,0.793,0.735,0.725
214.0,0.799,0.732,0.754
215.0,0.81,0.754,0.754
216.0,0.799,0.732,0.754
217.0,0.804,0.75,0.739
218.0,0.81,0.769,0.725
219.0,0.799,0.732,0.754
220.0,0.81,0.746,0.768
221.0,0.81,0.746,0.768
222.0,0.793,0.735,0.725
223.0,0.793,0.729,0.739
224.0,0.799,0.726,0.768
225.0,0.793,0.729,0.739
226.0,0.804,0.758,0.725
227.0,0.804,0.736,0.768
228.0,0.799,0.746,0.725
229.0,0.793,0.729,0.739
230.0,0.788,0.738,0.696
231.0,0.793,0.735,0.725
232.0,0.788,0.738,0.696
233.0,0.799,0.732,0.754
234.0,0.782,0.727,0.696
235.0,0.799,0.739,0.739
236.0,0.804,0.766,0.71
237.0,0.804,0.743,0.754
238.0,0.793,0.735,0.725
239.0,0.81,0.754,0.754
240.0,0.81,0.761,0.739
241.0,0.793,0.722,0.754
242.0,0.799,0.732,0.754
243.0,0.804,0.75,0.739
244.0,0.799,0.746,0.725
245.0,0.804,0.758,0.725
246.0,0.793,0.735,0.725
247.0,0.788,0.738,0.696
248.0,0.788,0.738,0.696
249.0,0.793,0.75,0.696
250.0,0.799,0.746,0.725
251.0,0.793,0.75,0.696
252.0,0.804,0.758,0.725
253.0,0.793,0.75,0.696
254.0,0.799,0.746,0.725
255.0,0.804,0.758,0.725
256.0,0.777,0.716,0.696
257.0,0.804,0.743,0.754
258.0,0.793,0.742,0.71
259.0,0.804,0.758,0.725
260.0,0.777,0.723,0.681
261.0,0.799,0.746,0.725
262.0,0.793,0.735,0.725
263.0,0.804,0.743,0.754
264.0,0.782,0.727,0.696
